LSOA code,All usual residents aged 16+,Never worked and long term unemployed
E01001451,1409,105
E01001452,1127,77
E01001453,1331,84
E01001454,1367,130
E01001455,1196,76
E01001456,1124,51
E01001457,1470,103
E01001458,1345,264
E01001459,1349,176
E01001460,1517,230
E01001461,1264,263
E01001462,1156,246
E01001463,1262,153
E01001464,1071,182
E01001465,1267,178
E01001466,1397,183
E01001467,1473,195
E01001468,1134,67
E01001469,1402,109
E01001470,1349,99
E01001471,1572,145
E01001472,1348,74
E01001473,1254,114
E01001474,1556,118
E01001475,1463,69
E01001476,1348,248
E01001477,1503,252
E01001478,1321,194
E01001479,1357,231
E01001480,1238,173
E01001481,1401,249
E01001482,1439,247
E01001483,892,160
E01001484,1077,136
E01001485,1411,275
E01001486,1649,311
E01001487,1444,240
E01001488,1480,228
E01001489,1398,224
E01001491,1489,211
E01001492,1584,234
E01001493,1570,234
E01001494,1198,148
E01001495,1524,102
E01001496,1567,151
E01001497,1139,158
E01001498,1510,136
E01001499,1281,161
E01001500,1262,182
E01001501,1783,194
E01001502,1513,255
E01001503,1424,206
E01001504,1581,333
E01001505,1513,242
E01001507,1884,346
E01001508,1750,300
E01001509,1283,213
E01001511,1399,147
E01001512,1780,149
E01001513,1486,244
E01001514,1367,126
E01001515,1503,247
E01001516,1638,220
E01001517,1511,341
E01001518,1356,114
E01001520,1473,165
E01001521,1494,91
E01001522,1382,124
E01001523,1429,130
E01001524,1267,147
E01001525,1582,217
E01001526,1333,104
E01001527,1658,156
E01001528,1315,180
E01001529,1458,182
E01001530,1351,177
E01001531,1161,58
E01001532,1388,91
E01001533,1343,115
E01001534,1381,111
E01001535,1162,102
E01001536,1605,136
E01001537,1333,89
E01001538,1368,79
E01001539,1326,71
E01001540,1515,170
E01001541,1179,70
E01001542,1208,113
E01001543,1307,99
E01001544,1371,101
E01001545,1416,265
E01001546,1363,188
E01001547,1632,262
E01001548,1404,208
E01001549,1545,314
E01001550,1323,197
E01001551,1417,210
E01001552,1529,209
E01001553,1354,282
E01001554,1365,341
E01001555,1683,234
E01001556,1295,165
E01001557,1298,213
E01001558,1443,256
E01001559,1575,260
E01001560,1275,190
E01001562,1709,411
E01001563,1411,109
E01001564,1328,112
E01001565,1389,94
E01001566,1485,163
E01001567,1238,56
E01001568,1556,121
E01001569,1439,129
E01001570,1474,140
E01001571,1424,115
E01001572,1366,103
E01001573,1278,180
E01001574,1408,250
E01001575,1301,199
E01001576,1448,193
E01001577,1434,217
E01001578,1794,178
E01001579,1301,172
E01001580,1383,63
E01001581,1311,107
E01001582,1176,106
E01001583,1326,60
E01001584,1250,65
E01001585,1194,72
E01001586,1175,125
E01001587,1676,87
E01001588,1406,196
E01001589,1435,152
E01001590,1422,100
E01001591,1658,260
E01001592,1536,71
E01001593,1429,86
E01001594,1891,196
E01001595,1623,191
E01001596,1375,105
E01001597,1280,105
E01001598,1327,91
E01001599,1318,108
E01001600,1230,100
E01001601,1239,69
E01001602,1660,220
E01001603,1336,186
E01001604,1234,71
E01001605,1221,69
E01001606,1287,68
E01001607,1297,91
E01001608,1165,54
E01001609,1393,94
E01001610,1374,96
E01001611,1399,131
E01001613,1408,118
E01001614,1219,90
E01001615,1632,117
E01001617,1346,112
E01001618,1498,130
E01001619,1590,65
E01001620,1243,148
E01001621,1352,164
E01001623,1398,155
E01001624,1310,129
E01001625,1358,174
E01001629,1643,207
E01001631,1562,243
E01001632,1667,297
E01001633,1579,223
E01001634,1333,234
E01001635,1330,142
E01001636,1358,183
E01001637,1413,174
E01001638,1402,223
E01001641,1574,78
E01001642,1455,64
E01001644,2225,122
E01001645,1476,147
E01001646,2203,238
E01001647,1230,138
E01001648,1387,100
E01001649,1241,135
E01001650,1419,171
E01001651,1424,193
E01001652,1434,165
E01001653,1181,149
E01001654,1215,160
E01001655,1177,171
E01001656,1042,81
E01001657,1279,75
E01001658,1310,112
E01001659,1263,122
E01001660,1226,142
E01001661,1243,136
E01001664,1784,103
E01001665,1583,123
E01001666,1582,187
E01001669,1878,226
E01001671,1267,139
E01001672,1535,245
E01001673,1853,402
E01001674,1719,244
E01001675,1920,279
E01001676,1385,184
E01001677,1680,289
E01001678,1380,127
E01001679,1073,80
E01001680,1239,80
E01001681,1083,102
E01001682,1104,102
E01001683,1215,131
E01001684,1155,126
E01001685,1266,127
E01001686,1434,150
E01001687,1353,240
E01001688,1931,226
E01001690,1349,169
E01001692,1105,196
E01001693,1103,157
E01001694,1303,151
E01001695,1234,158
E01001696,1987,209
E01001697,2066,222
E01001698,1410,201
E01001699,1170,118
E01001700,1840,276
E01001701,1384,134
E01001702,1154,216
E01001703,1499,263
E01001704,1331,145
E01001705,1688,244
E01001708,1357,114
E01001710,1307,282
E01001712,1619,198
E01001714,1720,199
E01001715,1154,64
E01001716,1453,223
E01001717,962,123
E01001718,1527,75
E01001719,1351,161
E01001720,1493,74
E01001722,1721,242
E01001723,1492,149
E01001724,2411,238
E01001725,1213,176
E01001726,985,167
E01001727,1381,195
E01001728,1232,205
E01001729,1533,226
E01001730,2130,338
E01001731,2175,224
E01001732,1427,192
E01001733,1561,143
E01001734,1587,139
E01001735,1330,161
E01001736,1320,97
E01001737,1431,87
E01001738,1488,132
E01001739,1673,95
E01001740,1260,201
E01001741,1173,79
E01001742,1418,167
E01001744,1659,205
E01001745,1741,243
E01001746,1255,219
E01001747,2043,198
E01001749,1272,97
E01001750,1798,184
E01001751,1275,57
E01001753,1142,177
E01001755,1384,191
E01001756,1795,123
E01001757,1194,210
E01001758,2075,269
E01001759,1403,155
E01001760,1637,179
E01001761,1562,268
E01001762,1477,152
E01001763,1473,163
E01001764,1486,195
E01001765,1474,262
E01001767,1300,155
E01001768,1571,150
E01001769,1283,113
E01001770,1397,194
E01001772,1447,223
E01001773,2099,222
E01001774,1679,171
E01001775,1356,181
E01001776,1485,209
E01001777,2324,198
E01001780,1543,181
E01001781,1324,180
E01001783,1279,202
E01001784,1453,201
E01001785,1271,154
E01001786,1680,274
E01001787,1315,230
E01001788,1231,202
E01001789,1396,203
E01001790,1147,194
E01001791,1156,152
E01001792,1585,205
E01001793,1258,112
E01001794,1615,214
E01001795,1099,89
E01001796,1248,123
E01001798,1691,277
E01001799,946,97
E01001800,1186,217
E01001801,1162,200
E01001802,1013,156
E01001803,1462,64
E01001804,1014,155
E01001805,982,104
E01001806,1213,131
E01001807,1311,164
E01001808,1054,144
E01001809,1217,178
E01001811,1294,196
E01001812,1222,253
E01001813,1484,341
E01001814,1108,123
E01001815,1442,292
E01001816,1252,118
E01001819,1348,167
E01001820,1148,195
E01001821,1115,173
E01001822,1416,183
E01001823,1115,152
E01001824,1000,177
E01001825,870,104
E01001826,1019,179
E01001827,1178,180
E01001828,1555,236
E01001829,1409,81
E01001830,1627,208
E01001831,1501,133
E01001832,1406,184
E01001833,1751,195
E01001834,1679,163
E01001835,1066,76
E01001836,1561,144
E01001837,1216,79
E01001838,1340,237
E01001839,2078,144
E01001840,1289,232
E01001841,1120,167
E01001842,1267,157
E01001843,981,121
E01001844,1592,147
E01001845,1292,239
E01001846,1016,187
E01001847,1125,119
E01001848,1597,301
E01001849,2071,209
E01001850,1402,237
E01001851,1176,72
E01001852,1472,91
E01001853,1256,90
E01001854,1543,96
E01001855,1439,99
E01001856,1340,154
E01001857,1318,184
E01001858,1558,142
E01001859,2133,190
E01001860,1449,167
E01001861,1144,151
E01001862,1503,148
E01001863,1190,81
E01001864,1243,116
E01001865,1274,89
E01001866,1330,114
E01001867,1033,120
E01001868,1101,153
E01001869,1096,62
E01001870,1553,107
E01001871,1308,111
E01001872,1221,94
E01001873,1241,115
E01001875,1480,240
E01001876,2049,341
E01001877,1151,124
E01001878,1303,187
E01001879,1252,127
E01001880,1274,92
E01001881,1635,95
E01001882,1432,78
E01001883,1649,139
E01001884,1601,167
E01001885,1039,155
E01001886,1327,140
E01001887,1256,141
E01001888,1347,54
E01001889,1206,58
E01001890,1546,96
E01001891,2238,122
E01001892,1096,113
E01001893,1249,155
E01001894,1242,138
E01001895,1199,118
E01001896,1229,123
E01001897,1078,76
E01001898,1827,97
E01001899,1369,178
E01001900,1452,189
E01001901,1335,70
E01001902,1490,81
E01001903,1216,116
E01001904,1384,59
E01001905,1377,76
E01001906,1200,59
E01001907,1027,45
E01001908,1265,70
E01001909,1587,132
E01001910,1207,59
E01001911,1376,225
E01001912,1165,188
E01001913,1282,40
E01001914,1411,99
E01001915,1185,64
E01001916,1078,48
E01001917,1272,114
E01001918,1211,80
E01001919,1247,66
E01001920,1284,136
E01001921,1210,102
E01001922,1268,90
E01001923,1265,101
E01001924,1229,62
E01001925,1222,61
E01001926,1115,53
E01001927,1078,55
E01001928,1483,95
E01001929,1058,57
E01001930,1468,200
E01001931,1112,86
E01001932,1362,99
E01001933,1306,146
E01001934,1553,167
E01001935,1703,140
E01001937,1445,92
E01001938,1248,105
E01001940,1305,168
E01001941,1424,111
E01001942,1598,134
E01001943,1935,184
E01001944,1335,226
E01001945,1419,112
E01001946,1614,134
E01001947,1141,165
E01001948,1580,103
E01001949,1210,63
E01001950,1177,46
E01001951,1282,74
E01001952,1497,62
E01001953,1296,127
E01001954,1233,150
E01001955,1698,258
E01001956,1263,139
E01001957,1224,213
E01001958,1356,211
E01001959,1626,217
E01001960,1511,118
E01001961,1179,170
E01001962,1341,114
E01001963,1378,63
E01001964,1264,76
E01001965,1223,51
E01001966,1126,51
E01001967,1209,65
E01001968,1317,46
E01001969,1655,238
E01001970,1601,221
E01001971,1567,240
E01001972,1401,173
E01001973,2004,177
E01001974,1826,143
E01001975,1493,144
E01001976,1506,218
E01001977,1201,157
E01001978,1594,255
E01001979,1878,292
E01001980,1514,180
E01001981,1550,154
E01001982,1432,156
E01001983,1348,154
E01001984,1489,92
E01001985,1310,60
E01001986,1294,76
E01001987,1393,64
E01001988,1369,75
E01001989,1427,72
E01001990,1650,80
E01001991,1329,123
E01001992,1400,91
E01001993,1275,46
E01001994,1501,116
E01001995,2026,208
E01001996,1181,74
E01001997,1478,64
E01001998,1662,142
E01001999,2017,229
E01002000,1496,107
E01002001,1400,89
E01002002,1514,160
E01002003,2171,285
E01002004,1553,125
E01002005,1301,48
E01002006,1322,67
E01002007,1229,61
E01002008,1044,63
E01002009,1233,49
E01002010,1310,99
E01002011,1467,103
E01002013,1077,59
E01002014,1503,122
E01002015,1200,141
E01002016,1611,120
E01002017,1308,107
E01002018,1120,106
E01002019,1128,47
E01002020,1298,86
E01002021,1176,58
E01002022,1801,116
E01002023,1138,62
E01002024,1059,74
E01002025,1205,48
E01002026,1492,292
E01002027,1253,168
E01002028,1410,170
E01002029,1831,265
E01002030,1348,142
E01002031,1638,199
E01002032,1562,252
E01002033,1525,233
E01002034,1771,317
E01002036,1453,267
E01002037,1383,278
E01002038,1398,269
E01002039,1278,282
E01002040,1802,274
E01002041,1471,242
E01002042,1314,170
E01002043,1457,151
E01002044,1536,193
E01002045,1648,244
E01002046,1351,187
E01002047,1436,91
E01002048,1658,218
E01002049,1550,258
E01002050,1183,133
E01002051,1380,189
E01002052,1351,145
E01002053,1550,240
E01002054,1315,214
E01002055,1203,106
E01002056,2437,298
E01002057,1544,144
E01002058,1361,131
E01002059,1295,133
E01002060,1431,78
E01002061,1373,70
E01002062,1500,82
E01002063,1297,111
E01002064,1280,131
E01002065,1394,148
E01002066,2130,371
E01002067,1494,239
E01002068,1921,200
E01002069,1762,248
E01002070,2146,221
E01002071,1421,208
E01002072,1613,237
E01002073,1359,197
E01002074,1661,289
E01002075,1546,219
E01002076,1452,208
E01002077,1819,245
E01002078,2160,240
E01002079,1407,191
E01002081,1585,302
E01002082,1200,268
E01002083,1184,112
E01002084,1447,149
E01002085,1807,206
E01002086,1301,135
E01002087,1636,221
E01002088,1479,152
E01002089,1033,211
E01002090,1434,226
E01002091,1506,291
E01002092,1212,206
E01002093,1511,297
E01002094,1199,179
E01002095,1264,216
E01002096,1393,228
E01002097,1283,177
E01002098,1265,114
E01002099,1641,314
E01002100,1443,224
E01002101,1596,156
E01002102,1540,196
E01002103,1556,208
E01002104,1261,178
E01002105,1813,191
E01002106,1623,145
E01002107,1417,111
E01002108,1463,140
E01002109,1474,97
E01002110,1370,114
E01002111,1775,185
E01002112,1630,130
E01002113,1295,102
E01002114,1842,251
E01002115,1232,117
E01002116,1328,106
E01002118,1517,207
E01002119,1964,216
E01002120,1053,162
E01002121,1454,180
E01002122,1507,151
E01002123,1362,145
E01002124,1433,157
E01002125,1571,167
E01002127,1536,153
E01002128,1724,204
E01002129,2249,229
E01002130,2253,302
E01002131,1369,180
E01002132,1650,154
E01002133,1620,274
E01002134,1233,154
E01002135,1655,213
E01002136,1623,137
E01002137,1278,50
E01002138,1280,132
E01002139,1205,180
E01002140,1439,161
E01002141,1453,172
E01002142,1500,126
E01002143,1268,167
E01002144,1345,128
E01002145,1393,187
E01002146,1193,79
E01002147,1177,99
E01002148,1189,104
E01002149,1112,55
E01002150,1721,224
E01002151,1268,179
E01002152,1329,81
E01002153,1543,109
E01002155,1388,108
E01002156,1296,88
E01002157,1389,121
E01002158,1170,64
E01002159,1566,136
E01002160,1957,196
E01002161,1658,188
E01002162,1503,145
E01002163,1349,104
E01002164,1512,110
E01002165,1461,173
E01002166,1394,152
E01002167,1321,155
E01002168,1251,180
E01002169,1375,191
E01002170,1110,141
E01002171,1387,172
E01002172,1281,133
E01002173,1612,172
E01002174,1334,151
E01002175,1166,136
E01002176,1420,157
E01002177,1223,128
E01002178,1387,141
E01002179,2035,256
E01002181,1849,175
E01002182,1691,183
E01002183,1697,284
E01002184,1516,173
E01002185,1471,214
E01002186,1527,189
E01002187,1582,165
E01002188,1337,68
E01002189,1420,81
E01002190,1412,94
E01002191,1579,106
E01002192,1356,97
E01002193,1535,153
E01002194,1408,72
E01002195,1344,84
E01002196,1405,85
E01002197,1151,136
E01002198,1500,149
E01002199,1262,130
E01002200,1747,206
E01002201,1425,149
E01002202,1653,241
E01002203,1446,147
E01002204,1464,186
E01002206,1093,111
E01002207,1428,125
E01002208,1123,75
E01002209,1526,139
E01002210,1275,128
E01002211,1192,168
E01002212,1443,203
E01002214,1487,213
E01002215,1359,209
E01002216,1325,157
E01002217,1706,244
E01002218,1455,168
E01002219,1540,243
E01002220,1323,150
E01002221,1354,166
E01002222,1289,147
E01002223,1452,170
E01002224,1318,177
E01002225,1533,137
E01002226,2185,229
E01002227,1742,312
E01002228,1823,191
E01002229,1498,192
E01002230,1508,147
E01002231,1565,181
E01002232,1768,273
E01002233,1892,282
E01002234,1460,136
E01002235,1511,278
E01002236,1763,218
E01002237,1784,176
E01002238,1502,128
E01002239,1617,134
E01002240,1585,162
E01002241,1499,197
E01002242,1542,136
E01002243,1517,177
E01002244,1417,103
E01002245,1318,126
E01002246,1550,208
E01002247,1813,156
E01002248,1295,170
E01002250,1452,132
E01002251,1217,131
E01002252,1313,71
E01002253,1298,57
E01002254,1357,60
E01002255,1245,57
E01002256,1254,62
E01002257,1421,64
E01002258,1438,99
E01002259,1246,92
E01002260,1440,131
E01002261,1418,119
E01002262,1442,103
E01002263,1305,96
E01002264,1269,144
E01002265,1239,74
E01002266,1259,129
E01002267,1459,167
E01002268,1178,103
E01002269,1489,94
E01002270,1462,143
E01002271,1341,129
E01002272,1118,72
E01002273,1140,110
E01002274,1411,84
E01002275,1136,100
E01002276,1674,194
E01002277,1290,117
E01002278,1302,144
E01002279,1361,127
E01002280,1320,173
E01002281,1728,182
E01002282,1367,171
E01002283,1305,127
E01002284,1547,140
E01002285,1156,92
E01002286,1365,70
E01002287,1313,78
E01002288,1317,76
E01002289,1351,82
E01002290,1266,83
E01002291,1323,82
E01002292,1343,119
E01002294,1278,67
E01002295,1597,139
E01002296,1420,134
E01002297,1279,134
E01002298,1323,96
E01002299,1434,132
E01002300,1682,105
E01002301,1350,99
E01002302,1366,107
E01002303,1700,198
E01002304,1311,133
E01002305,1333,116
E01002306,1346,160
E01002307,1431,107
E01002308,1446,164
E01002309,1349,126
E01002310,1491,245
E01002311,1419,137
E01002312,1360,128
E01002313,1736,195
E01002314,1367,136
E01002315,1326,115
E01002316,1497,223
E01002317,1320,63
E01002318,1366,68
E01002319,1496,136
E01002320,1236,52
E01002321,1495,105
E01002322,1576,83
E01002323,1418,78
E01002324,1302,133
E01002325,1616,174
E01002326,1333,120
E01002327,1287,109
E01002328,1408,87
E01002329,1415,89
E01002330,1423,133
E01002331,1330,95
E01002332,1416,101
E01002333,1142,78
E01002334,1451,116
E01002335,1169,87
E01002336,1360,93
E01002337,1159,81
E01002338,1125,109
E01002339,1358,77
E01002340,1159,72
E01002341,1183,64
E01002342,1318,153
E01002343,1459,120
E01002344,1549,160
E01002345,1443,145
E01002346,1201,115
E01002347,1218,109
E01002348,1318,87
E01002349,1294,128
E01002350,1363,179
E01002351,1418,96
E01002352,1562,150
E01002353,1722,156
E01002354,1138,52
E01002355,1203,45
E01002356,1628,153
E01002358,1671,138
E01002359,1110,71
E01002360,1277,109
E01002361,1600,129
E01002362,1258,66
E01002363,1209,102
E01002364,1187,67
E01002365,1099,93
E01002366,1247,102
E01002367,1443,98
E01002368,1872,206
E01002369,1615,163
E01002370,1889,168
E01002371,1373,132
E01002372,1352,98
E01002373,1344,103
E01002374,1372,109
E01002375,1496,154
E01002376,1215,57
E01002377,1436,106
E01002378,1342,65
E01002379,1312,72
E01002380,1824,164
E01002381,1251,93
E01002382,1476,104
E01002383,1323,86
E01002384,1343,70
E01002385,1342,104
E01002386,1691,110
E01002387,1318,62
E01002388,1363,43
E01002389,1366,57
E01002390,1205,49
E01002391,1414,81
E01002392,1277,189
E01002393,1631,247
E01002394,1335,190
E01002395,1087,151
E01002396,1435,243
E01002397,1544,253
E01002398,1453,215
E01002399,1319,178
E01002400,1574,209
E01002401,1723,257
E01002402,1317,205
E01002403,1821,298
E01002404,1504,247
E01002405,1510,211
E01002408,1295,200
E01002409,1557,197
E01002410,1523,143
E01002411,1690,139
E01002412,1926,164
E01002413,1238,157
E01002414,2505,116
E01002415,1353,74
E01002416,1357,86
E01002417,1482,84
E01002418,1445,102
E01002419,1356,74
E01002420,1282,96
E01002421,1370,89
E01002422,1228,143
E01002423,1466,149
E01002424,1285,130
E01002425,1276,191
E01002426,1504,220
E01002427,1301,145
E01002428,1247,113
E01002429,1223,154
E01002430,1184,39
E01002431,1096,50
E01002432,1240,95
E01002433,1995,164
E01002434,1127,63
E01002435,1250,73
E01002436,1339,91
E01002437,1221,87
E01002438,1188,73
E01002439,1256,116
E01002440,1274,107
E01002441,1325,115
E01002442,1340,107
E01002443,1660,175
E01002444,1597,195
E01002445,1289,142
E01002446,1532,148
E01002447,1676,184
E01002448,1655,220
E01002449,1679,201
E01002450,1153,67
E01002451,1181,76
E01002452,1243,110
E01002453,1378,113
E01002454,1442,183
E01002455,1497,200
E01002456,1340,135
E01002457,1250,152
E01002458,1174,50
E01002459,1375,62
E01002460,1178,63
E01002461,1260,93
E01002462,1153,58
E01002463,1244,67
E01002464,1279,63
E01002465,1349,101
E01002466,1371,73
E01002467,1277,74
E01002468,1387,75
E01002469,1377,80
E01002470,1499,128
E01002471,1320,60
E01002472,1400,106
E01002473,1426,124
E01002474,1392,95
E01002475,1328,126
E01002476,1346,77
E01002477,1112,114
E01002478,1285,93
E01002479,1460,126
E01002480,1487,91
E01002481,1328,135
E01002482,1367,93
E01002483,1554,121
E01002484,1142,100
E01002485,1614,145
E01002486,1734,260
E01002487,1524,240
E01002488,1387,199
E01002489,1556,211
E01002490,1703,235
E01002491,1300,206
E01002492,1349,181
E01002493,1390,275
E01002494,1398,134
E01002495,1476,129
E01002496,1530,113
E01002497,1955,166
E01002498,1158,80
E01002499,1675,148
E01002501,1410,199
E01002502,1438,228
E01002503,1491,284
E01002505,1378,231
E01002506,1567,287
E01002507,1525,212
E01002508,1659,318
E01002509,1223,81
E01002511,1307,142
E01002512,1671,90
E01002513,1204,116
E01002514,1620,130
E01002516,1213,112
E01002518,1110,84
E01002519,1633,160
E01002520,1552,153
E01002521,1690,225
E01002523,1263,117
E01002525,1448,169
E01002526,2303,264
E01002527,1261,152
E01002528,1467,204
E01002529,1917,186
E01002530,1335,187
E01002531,1402,171
E01002533,1170,76
E01002534,1220,79
E01002535,1868,137
E01002536,1048,53
E01002537,1953,121
E01002538,1387,99
E01002539,1403,114
E01002540,1363,221
E01002541,1614,159
E01002542,1482,281
E01002543,1421,224
E01002544,1343,167
E01002545,1099,208
E01002546,1335,213
E01002547,1311,220
E01002548,1458,226
E01002549,1459,151
E01002550,1439,157
E01002551,1715,190
E01002552,1345,138
E01002553,1407,194
E01002555,1714,192
E01002556,1443,128
E01002557,1606,168
E01002558,1702,222
E01002559,1981,211
E01002560,1602,212
E01002561,1239,166
E01002562,1177,129
E01002563,1565,105
E01002564,1496,175
E01002565,1976,194
E01002567,1507,108
E01002569,1770,105
E01002570,1383,140
E01002571,1067,40
E01002572,1195,127
E01002573,1268,46
E01002574,1423,61
E01002575,1346,56
E01002576,1344,109
E01002577,1405,86
E01002578,1223,74
E01002579,1400,85
E01002580,1185,111
E01002581,1544,89
E01002582,1294,60
E01002583,1472,211
E01002584,1747,294
E01002585,1489,217
E01002586,1498,188
E01002587,1923,286
E01002588,1508,246
E01002589,1959,293
E01002590,2052,295
E01002591,1524,165
E01002592,1685,190
E01002593,1878,215
E01002594,1847,234
E01002595,1746,184
E01002596,1672,232
E01002598,1513,152
E01002599,1237,152
E01002600,1317,149
E01002601,1430,136
E01002602,1184,81
E01002603,1504,167
E01002604,1219,181
E01002605,1741,210
E01002606,1303,190
E01002607,1897,177
E01002608,1453,175
E01002609,1433,140
E01002610,1325,173
E01002611,1646,164
E01002612,1673,164
E01002613,1548,153
E01002614,1606,147
E01002615,1267,195
E01002616,1296,105
E01002617,1307,90
E01002618,1654,234
E01002619,1686,259
E01002620,2026,304
E01002621,1569,229
E01002622,1535,194
E01002623,1580,286
E01002624,1433,193
E01002625,1411,223
E01002626,1349,183
E01002627,1326,242
E01002628,1795,260
E01002629,2094,228
E01002630,1730,238
E01002631,1451,272
E01002632,1593,237
E01002633,1663,305
E01002634,1278,238
E01002635,1597,234
E01002636,1696,220
E01002637,1454,284
E01002638,1644,282
E01002639,1465,153
E01002640,1863,201
E01002641,2159,289
E01002643,2140,268
E01002645,1786,218
E01002646,1737,285
E01002647,1653,232
E01002649,1573,179
E01002650,1869,270
E01002651,1541,212
E01002652,1603,226
E01002653,1562,167
E01002654,1570,122
E01002655,1529,152
E01002656,1167,75
E01002657,1572,123
E01002658,1100,62
E01002659,1170,98
E01002660,1715,257
E01002661,1912,267
E01002662,2114,234
E01002663,1742,267
E01002665,1388,229
E01002666,1526,230
E01002667,1783,162
E01002668,1810,123
E01002669,1501,169
E01002670,1517,120
E01002671,1416,119
E01002672,1287,121
E01002673,1142,238
E01002674,1639,142
E01002675,2029,119
E01002676,1434,112
E01002677,1672,137
E01002678,1707,135
E01002679,1522,154
E01002680,1688,172
E01002681,1935,190
E01002682,1868,183
E01002686,1404,195
E01002687,1361,82
E01002689,1267,113
E01002690,1132,68
E01002691,1438,97
E01002692,1759,140
E01002693,1530,138
E01002694,1345,234
E01002695,1348,128
E01002696,1574,100
E01002697,1676,258
E01002698,1749,127
E01002699,1298,105
E01002700,1165,69
E01002701,1267,136
E01002702,2036,256
E01002703,1956,191
E01002704,2021,198
E01002706,1687,168
E01002707,1595,159
E01002708,1789,197
E01002709,1467,185
E01002710,1348,171
E01002711,1830,159
E01002712,1140,94
E01002713,2414,398
E01002714,1335,92
E01002715,1311,211
E01002716,1888,275
E01002717,1004,89
E01002718,1399,80
E01002719,1245,75
E01002720,1658,253
E01002721,1386,123
E01002722,1203,142
E01002723,1379,148
E01002724,1764,80
E01002725,1101,127
E01002726,1426,173
E01002727,1360,82
E01002728,1179,94
E01002729,1318,141
E01002730,1575,143
E01002732,1532,267
E01002733,1245,92
E01002734,1889,269
E01002735,2597,215
E01002736,1178,272
E01002737,1555,242
E01002738,1601,130
E01002739,1526,85
E01002740,1871,87
E01002741,1236,197
E01002742,1641,141
E01002743,1248,89
E01002744,1169,83
E01002745,1233,78
E01002747,1279,99
E01002748,1330,163
E01002749,1202,121
E01002751,1465,239
E01002752,1402,133
E01002753,1247,158
E01002754,1264,93
E01002755,1077,157
E01002756,1103,109
E01002757,1148,132
E01002758,1348,219
E01002759,1285,113
E01002760,1367,205
E01002762,1702,95
E01002763,1127,114
E01002764,1512,222
E01002765,2458,300
E01002766,1786,228
E01002767,1880,211
E01002768,1388,155
E01002769,1547,129
E01002770,1627,172
E01002771,1307,113
E01002772,1659,168
E01002773,1274,176
E01002774,1849,160
E01002775,1233,92
E01002776,1553,163
E01002777,1454,138
E01002778,1543,255
E01002779,1494,98
E01002780,1479,129
E01002781,1483,204
E01002782,1135,204
E01002783,1425,219
E01002784,1448,187
E01002785,1587,101
E01002786,1614,211
E01002787,1243,116
E01002788,1582,93
E01002789,1565,78
E01002790,1159,185
E01002791,1568,105
E01002792,1593,68
E01002793,1592,173
E01002794,1829,121
E01002795,1655,178
E01002796,952,118
E01002797,1580,172
E01002798,1660,103
E01002799,1567,179
E01002800,1495,179
E01002801,1305,93
E01002802,1579,146
E01002804,1279,168
E01002805,1281,98
E01002806,1375,125
E01002807,1435,180
E01002808,1617,170
E01002809,1435,176
E01002810,1484,194
E01002811,1398,171
E01002812,1314,70
E01002813,1259,70
E01002814,1851,307
E01002815,1053,128
E01002816,888,77
E01002817,1149,102
E01002818,1227,100
E01002819,939,86
E01002821,964,71
E01002823,1059,120
E01002824,1064,55
E01002825,1433,136
E01002826,1063,81
E01002827,1425,61
E01002828,1004,69
E01002829,1241,136
E01002830,1522,238
E01002831,1503,175
E01002832,1407,156
E01002833,1059,49
E01002834,1048,86
E01002835,1202,67
E01002836,1132,51
E01002837,880,63
E01002839,1425,158
E01002840,877,122
E01002841,1053,109
E01002842,838,185
E01002843,1099,181
E01002844,1013,80
E01002845,1023,108
E01002846,1199,88
E01002847,1249,116
E01002848,1120,96
E01002849,1287,105
E01002850,1242,134
E01002851,1236,169
E01002852,1882,226
E01002853,1262,225
E01002854,912,130
E01002855,1362,268
E01002856,1267,167
E01002857,1159,185
E01002858,1151,174
E01002859,1101,79
E01002860,959,54
E01002861,1028,102
E01002862,1025,122
E01002863,966,95
E01002864,1167,128
E01002865,1210,98
E01002866,1603,254
E01002867,1501,187
E01002868,1060,76
E01002869,1379,135
E01002870,1380,262
E01002871,1221,46
E01002872,1135,157
E01002873,1209,113
E01002874,964,93
E01002875,1064,63
E01002876,1464,162
E01002877,1744,281
E01002878,1297,150
E01002879,1581,363
E01002880,939,140
E01002881,1111,206
E01002882,876,64
E01002883,1254,73
E01002884,1267,125
E01002885,1195,49
E01002886,1119,72
E01002887,925,59
E01002888,1406,69
E01002889,1404,274
E01002890,1104,76
E01002891,1044,98
E01002892,1095,75
E01002893,1417,130
E01002894,1167,81
E01002896,1371,89
E01002897,1322,91
E01002898,1398,143
E01002899,1071,109
E01002900,1554,81
E01002901,958,97
E01002902,1091,91
E01002903,1085,76
E01002904,1053,223
E01002905,1400,250
E01002906,1479,222
E01002907,983,196
E01002908,1160,121
E01002909,1824,156
E01002910,1191,105
E01002911,1073,91
E01002912,1321,80
E01002913,1496,148
E01002914,1006,110
E01002915,1130,92
E01002916,1183,78
E01002917,1145,52
E01002918,1405,81
E01002919,1596,167
E01002920,1259,58
E01002921,1510,104
E01002922,1346,54
E01002923,1443,188
E01002924,1235,50
E01002925,1348,70
E01002926,1225,48
E01002927,1370,124
E01002928,1566,173
E01002929,1352,83
E01002930,1592,131
E01002931,1531,103
E01002932,1621,208
E01002933,1563,116
E01002934,1395,43
E01002935,1508,85
E01002937,1355,61
E01002938,1504,63
